PMC_ID,PMC_Year,Journal,Article Title,Secondary analysis,Data availability statement (yes/no),Data availability (yes/no),"If Data availability = yes, where do they share data? (SRA/GEO/other)","If other database, specifiy which one",Code availability statement (Yes/No),Code availability (Yes/No (reason)),Code availability (Yes/No),"If Code availability = yes,  What kind of code do they share?","If Code availability = yes, where do they share code (supplementary/ GitHub/ other)","If Code availability = yes, do they share the code as notebook or R markdown file (.Rmd)? (yes/no)","If yes, notebook/Rmd","If yes, single/ multiple",Summary data (yes/ no/ partial),Number of citations,Gender of the PI,"Experience of PI/ Last author (Check their profile or webpage to see whether they are an associate/ assistant/ professor/ professor emiretus, etc)",PI/ last author's training background - CS/ Bioinformatics/ Other,PI (last author's) education level - PhD/PostDoc/ Master's etc,First author's education level,First author's training background (CS/ Bioinformatics/ Other)
PMC7855056,2020,Nat_Biotechnol,A long-term study of AAV gene therapy in hemophilia A dogs identifies clonal expansions of transduced liver cells,yes,,,,,Yes,Yes,Yes,uncertain,Zenodo,no,,,yes,42,Female,Assistant Professor,"Other, Genetics",Phd,B.S,Other
PMC7343608,2020,Nat_Genet,Mendelian randomization accounting for correlated and uncorrelated pleiotropic effects using genome-wide summary statistics,no,yes,no,,,Yes,Yes,Yes,Package,GitHub,no,,,yes,67,Male,Associate Professor,CS,Phd,Phd,"Other, Biostatistics"
PMC7610456,2020,Nat_Genet,The mutational signature profile of known and suspected human carcinogens in mice,no,yes,no,,,Yes,Yes,Yes,Analytical,GitHub,no,,,yes,23,Male,Senior Group Leader,Other ,Phd,Phd,Other
PMC7808397,2020,Nat_Genet,Genome-wide association study identifies 32 novel breast cancer susceptibility loci from overall and subtype-specific analyses,no,yes,no,,,Yes,Yes,Yes,Package,GitHub,no,,,yes,66,Female,Principal Investigator,Other,"MD, Phd",Postdoc,"Other, Biostatistics"
PMC7610467,2020,Nat_Genet,Evolutionary dynamics of neoantigens in growing tumors,no,yes,no,,,Yes,Yes,Yes,Package,Zenodo,no,,,yes,19,Male,Professor,Other,Postdoc,Postdoc,"Other, Bioinformatics"
PMC7343625,2020,Nat_Genet,Multi-cancer analysis of clonality and the timing of systemic spread in paired primary tumors and metastases,no,yes,yes,other,European Genotype Phenotype Archive,Yes,Yes,Yes,Analytical,GitHub,no,,,yes,70,Female,Associate Professor,Bioinformatics,Phd,,
PMC7796998,2020,Nat_Genet,Genetic screening for single-cell variability modulators driving therapy resistance,no,yes,yes,GEO,,Yes,Yes,Yes,Package,GitHub,no,,,yes,16,Male,Professor,Other,Phd,"MD, Phd",Other
PMC7138649,2020,Nat_Genet,Three-dimensional chromatin landscapes in T cell acute lymphoblastic leukemia,no,yes,yes,GEO,,Yes,Yes,Yes,pipeline,GitHub,no,,,yes,39,Male,Professor,"CS, Bioinformatics",Postdoc,Phd,"CS,Bioinformatics"
PMC7610464,2020,Nat_Genet,Phenome-wide Mendelian randomization mapping the influence of the plasma proteome on complex diseases,yes,,,,,Yes,Yes,Yes,Package,GitHub,no,,,yes,59,Male,Professor,Other,Postdoc,Phd,Other
PMC7610512,2020,Nat_Genet,Regulation of single-cell genome organization into TADs and chromatin nanodomains,yes,,,,,Yes,Yes,Yes,Matlab scripts,GitHub,no,,,yes,39,Male,Research Director ,Other,Postdoc,Postdoc,"Other, Genetics"
PMC7343611,2020,Nat_Genet,Lymph node metastases develop through a wider evolutionary bottleneck than distant metastases,yes,,,,,Yes,Yes,Yes,Analytical,GitHub,yes,notebook,multiple,yes,31,Female,Assistant Professor,Other,Phd,Postdoc,CS
PMC7610413,2020,Nat_Methods,Up to 100-fold speedup and multiplexing in optimized DNA-PAINT,no,yes,no,,,No,No,No,,,,,,no,33,Male,Professor,Other,Postdoc,Postdoc,Other
PMC7799389,2020,Nat_Methods,Time-resolved cryoEM using Spotiton,no,yes,no,,,No,No,No,,,,,,no,34,Female,Adjunct Professor,Other,Phd,Postdoc,Other
PMC7302119,2020,Nat_Methods,Kaspar Podgorski,no,no,no,,,No,No,No,,,,,,,0,Male,Technology Editor,Other,M.A.,,
PMC7199528,2020,Nat_Methods,Kilohertz two-photon fluorescence microscopy imaging of neural activity in vivo,no,yes,no,,,No,No,No,,,,,,no,68,Female,Associate Professor,Other,Postdoc,Postdoc,Other
PMC7359951,2020,Nat_Methods,Deep three-photon imaging of the brain in intact adult zebrafish,no,yes,no,,,Yes,No (available upon request),No,,,,,,no,67,Male,Professor,Other,Phd,Postdoc,"Other, Biostatistics"
PMC8073243,2020,Nat_Methods,Supervised enhancer prediction with epigenetic pattern recognition and targeted validation,no,no,no,,,Yes,Yes,Yes,Package,GitHub,no,,,yes,24,Male,Professor,Bioinformatics,Postdoc,Phd,Other
PMC7192636,2020,Nat_Methods,Rapid mesoscale volumetric imaging of neural activity with synaptic resolution,no,yes,no,,,Yes,Yes,Yes,Matlab scripts,Supplementary,no,,,yes,47,Female,Associate Professor,Other,Postdoc,Phd,Other
PMC7541687,2020,Nat_Methods,Detecting chromatin interactions between and along sister chromatids with SisterC,no,yes,yes,GEO,,Yes,Yes,Yes,pipeline,GitHub,no,,,no,6,Male,Professor,Other,Phd,Phd,Other
PMC7437817,2020,Nat_Methods,Cumulus provides cloud-based data analysis for large-scale single-cell and single-nucleus RNA-seq,no,yes,yes,SRA,,Yes,Yes,Yes,Package,GitHub,no,,,yes,37,Female,Professor,Bioinformatics,Phd,Postdoc,CS
PMC7357298,2020,Nat_Methods,Pooled CRISPR screens with imaging on microRaft arrays reveals stress granule-regulatory factors,no,yes,yes,GEO,,Yes,Yes,Yes,Analytical,GitHub,yes,notebook,multiple,no,19,Male,Professor,Computational Neuroscience,"Phd,MBA",Phd,Other
PMC7192605,2020,Nucleic_Acids_Res,A novel NGS library preparation method to characterize native termini of fragmented DNA,no,yes,no,,,No,No,No,,,,,,no,45,Male,Assistant Professor,Other,Phd,Postdoc,Other
PMC7641733,2020,Nucleic_Acids_Res,HydraPsiSeq: a method for systematic and quantitative mapping of pseudouridines in RNA,no,no,no,,,No,No,No,,,,,,no,79,Male,Professor,Other,Postdoc,Postdoc,Other
PMC7778890,2020,Nucleic_Acids_Res,"RBP2GO: a comprehensive pan-species database on RNA-binding proteins, their interactions and functions",no,yes,no,,,No,No,No,,,,,,no,53,Male,Professor,Other,Postdoc,,
PMC7797046,2020,Nucleic_Acids_Res,The nature of the modification at position 37 of tRNAPhe correlates with acquired taxol resistance,no,no,no,,,No,No,No,,,,,,no,77,Male,Professor,Other,BSc,Phd,Other
PMC7897472,2020,Nucleic_Acids_Res,Entropy subspace separation-based clustering for noise reduction (ENCORE) of scRNA-seq data,no,yes,no,,,No,Yes,Yes,software,GitHub,no,,,no,38,Male,Professor,Other,Phd,Postdoc,Other
PMC7797069,2020,Nucleic_Acids_Res,The transcriptional repressors VAL1 and VAL2 recruit PRC2 for genome-wide Polycomb silencing in Arabidopsis,yes,,,,,No,No,No,,,,,,no,68,Male,Professor,Other,Phd,Phd,Other
PMC7779005,2020,Nucleic_Acids_Res,DualSeqDB: the host–pathogen dual RNA sequencing database for infection processes,yes,,,,,No,No,No,,,,,,no,26,Male,Associate Professor,Other,Postdoc,Phd,Bioinformatics
PMC7826286,2020,Nucleic_Acids_Res,Chromatin structure restricts origin utilization when quiescent cells re-enter the cell cycle,yes,,,,,No,No,No,,,,,,no,70,Female,Professor,"Other,Genetics",Phd,Postdoc,Other
PMC7641319,2020,Nucleic_Acids_Res,Regulation of alginate catabolism involves a GntR family repressor in the marine flavobacterium Zobellia galactanivorans DsijT,yes,,,,,No,No,No,,,,,,no,92,Male,PostDoc,Other,Postdoc,,
PMC7544197,2020,Nucleic_Acids_Res,Unbiased investigation of specificities of prime editing systems in human cells,yes,,,,,Yes,Yes,Yes,Package,GitHub,no,,,yes,47,Male,Head,Other,Phd,Phd,Other
PMC7989618,2021,Bioinformatics,COVID-19: disease pathways and gene expression changes predict methylprednisolone can improve outcome in severe cases,no,no,no,,,No,No,No,,,,,,no,13,Male,Professor,Other,"MD, Phd",Phd,CS
PMC8136008,2021,Bioinformatics,VisuaLife: library for interactive visualization in rich web applications,no,no,no,,,Yes,Yes,Yes,Package,BitBucket,no,,,no,1,Male,Faculty ,Other,Phd,MS,Other
PMC8428582,2021,Bioinformatics,"Mercator: a pipeline for multi-method, unsupervised visualization and distance generation",no,yes,no,,,Yes,Yes,Yes,Pipeline,CRAN,yes,Rmd,multiple,uncertain,2,Male,Professor,Other,Postdoc,Postdoc,Bioinformatics
PMC8406877,2021,Bioinformatics,Transfer learning via multi-scale convolutional neural layers for human–virus protein–protein interaction prediction,no,no,no,,,Yes,Yes,Yes,Package,GitHub,no,,,yes,1,Male,Professor,Other,MSc,Phd,Other
PMC8135978,2021,Bioinformatics,Alignment free sequence comparison methods and reservoir host prediction,no,no,no,,,Yes,Yes,Yes,Package,GitHub,no,,,yes,0,Male,Professor,Other,Phd,MS,CS
PMC8034537,2021,Bioinformatics,EM-stellar: benchmarking deep learning for electron microscopy image segmentation,no,no,no,,,Yes,Yes,Yes,Jupyter Notebook,gitub,yes,notebook,multiple,yes,2,Male,Senior Lecturer,Other,Phd,Phd,Other
PMC8388021,2021,Bioinformatics,BloodGen3Module: blood transcriptional module repertoire analysis and visualization using R,no,yes,yes,GEO,,Yes,Yes,Yes,Package,GitHub,no,,,no,3,Male,Principle Scientist,Other,Postdoc,Postdoc,Other
PMC8136078,2021,Bioinformatics,SeRenDIP-CE: sequence-based interface prediction for conformational epitopes,yes,,,,,Yes,No,Yes,Pipeline,Other (Website),no,,,no,2,Male,Assistant Professor,Bioinformatics,Postdoc,Phd,Bioinformatics
PMC8034526,2021,Bioinformatics,The iPPI-DB initiative: a community-centered database of protein–protein interaction modulators,yes,,,,,No,Yes,Yes,Package,gitlab,no,,,no,5,Male,Group Leader,Bioinformatics,Phd,MSc,Bioinformatics
PMC8388031,2021,Bioinformatics,CuBlock: a cross-platform normalization method for gene-expression microarrays,yes,,,,,Yes,Yes,Yes,Pipeline,Other (Website),uncertain,uncertain,uncertain,uncertain,1,Male,Adjunct Professor,Other,Phd,Phd,Bioinformatics
PMC8052714,2021,BMC_Bioinformatics,Cancer immune control dynamics: a clinical data driven model of systemic immunity in patients with metastatic melanoma,no,yes,no,,,No,No,No,,,,,,no,0,Male,Faculty ,Other,"MD,Phd",MD,Other
PMC8254361,2021,BMC_Bioinformatics,PhyliCS: a Python library to explore scCNA data and quantify spatial tumor heterogeneity,no,yes,no,,,Yes,Yes,Yes,Package,GitHub,no,,,yes,0,Male,Research Assistant,Other,MSc,MS,CS
PMC7936459,2021,BMC_Bioinformatics,SomatoSim: precision simulation of somatic single nucleotide variants,no,yes,no,,,No,Yes,Yes,Package,GitHub,no,,,no,1,Male,Director,Other,MD,BS,Other
PMC8011138,2021,BMC_Bioinformatics,Six genes involved in prognosis of hepatocellular carcinoma identified by Cox hazard regression,yes,,,,,No,No,No,,,,,,no,2,Male,Professor,,,Postdoc,Other
PMC8220828,2021,BMC_Bioinformatics,A convolutional neural network-based regression model to infer the epigenetic crosstalk responsible for CG methylation patterns,yes,,,,,Yes,Yes,Yes,Package,GitHub,no,,,no,0,Male,Professor,"Other, Genetics","MD,Phd",Phd,Other
PMC7877041,2021,BMC_Bioinformatics,Ranking cancer drivers via betweenness-based outlier detection and random walks,yes,,,,,No,Yes,Yes,Pipeline,GitHub,no,,,yes,0,Female,Associate Professor,CS,Phd,Phd,Other
PMC7852121,2021,BMC_Bioinformatics,Search for SINE repeats in the rice genome using correlation-based position weight matrices,yes,,,,,No,No,No,,,,,,,0,Male,Professor,Other,Phd,Phd,Bioinformatics
PMC8340394,2021,BMC_Bioinformatics,Maximum parsimony reconciliation in the DTLOR model,yes,,,,,Yes,Yes,Yes,Package,GitHub,no,,,no,0,Male,Professor,CS,Phd,Phd,Other
PMC7869453,2021,BMC_Bioinformatics,NGlyAlign: an automated library building tool to align highly divergent HIV envelope sequences,yes,,,,,No,Yes,Yes,Tool,GitHub,no,,,no,1,Male,Emiretus Professor,Other,Phd,Postdoc,CS
PMC8296540,2021,BMC_Bioinformatics,METAMVGL: a multi-view graph-based metagenomic contig binning algorithm by integrating assembly and paired-end graphs,yes,,,,,Yes,Yes,Yes,Pipeline,GitHub,no,,,no,1,Male,Assistant Professor,CS,Postdoc,Postdoc,"CS,Bioinformatics"
PMC8419911,2021,Genome_Biol,"Oncogene Concatenated Enriched Amplicon Nanopore Sequencing for rapid, accurate, and affordable somatic mutation detection",no,yes,no,,,No,No,No,,,,,,no,0,Male,Associate Professor,CS,Phd,Postdoc,Other
PMC8385897,2021,Genome_Biol,Community-wide hackathons to identify central themes in single-cell multi-omics,no,no,no,,,No,No,No,,,,,,no,1,Female,Director of Division,"Other, Computational Biology",Phd,Phd,Other
PMC8082814,2021,Genome_Biol,The impact of cell type and context-dependent regulatory variants on human immune traits,no,yes,no,,,No,No,No,,,,,,no,4,Male,Assistant Professor,CS,Postdoc,B.S,Other
PMC7945310,2021,Genome_Biol,Identification of pathogenic variants in cancer genes using base editing screens with editing efficiency correction,no,yes,no,,,Yes,Yes,Yes,Package,Zenodo,no,,,yes,4,Male,Professor,"Other, Genetics",Postdoc,Phd,Other
PMC7784034,2021,Genome_Biol,Histone modifications during the life cycle of the brown alga Ectocarpus,no,yes,yes,GEO,,No,No,No,,,,,,no,7,Male,Senior Researcher,Other,Phd,Postdoc,Other
PMC8118107,2021,Genome_Biol,Multi-omic profiling of lung and liver tumor microenvironments of metastatic pancreatic cancer reveals site-specific immune regulatory pathways,no,yes,yes,GEO,,No,No,No,,,,,,no,0,Female,Associate Professor,Other,Phd,MD,Other
PMC8273981,2021,Genome_Biol,Telomere-to-telomere assembly of a fish Y chromosome reveals the origin of a young sex chromosome pair,no,yes,yes,SRA,,Yes,Yes,Yes,Shell Script,GitHub,no,,,yes,3,Male,Postdoc Reseacher,"Other, Genetics",Phd,Phd,Other
PMC8004462,2021,Genome_Biol,Meta-analysis of genome-wide DNA methylation identifies shared associations across neurodegenerative disorders,no,yes,yes,GEO,,Yes,Yes,Yes,Analytical,GitHub,no,,,yes,4,Male,Fellow,"Other,Genetics",Phd,Phd,Other
PMC8218388,2021,Genome_Biol,SPARK-X: non-parametric modeling enables scalable and robust detection of spatial expression patterns for large spatial transcriptomic studies,yes,,,,,Yes,Yes,Yes,Pipeline,GitHub,no,,,yes,1,Male,Associate Professor,Other,Phd,Phd,Biostatistics
PMC7798263,2021,Genome_Biol,Uncovering deeply conserved motif combinations in rapidly evolving noncoding sequences,yes,,,,,Yes,Yes,Yes,Package,GitHub,no,,,yes,3,Male,Associate Professor,CS,Postdoc,Postdoc,Bioinformatics
PMC8048219,2021,Genome_Med,Emerging genetic complexity and rare genetic variants in neurodegenerative brain diseases,no,yes,no,,,No,No,No,,,,,,no,2,Female,Professor,"Other, Genetics",Phd,Postdoc,Other
PMC7836461,2021,Genome_Med,Comprehensive molecular characterization of gastric cancer patients from phase II second-line ramucirumab plus paclitaxel therapy trial,no,yes,no,,,Yes,No,No,,,,,,no,2,Female,Professor,Other,MD,MD,Other
PMC8182898,2021,Genome_Med,"Genetic subtypes, allelic effects, and convergent neurodevelopmental mechanisms",no,no,no,,,No,No,No,,,,,,no,0,Male,Assistant Professor,"Other, Genetics",Phd,Phd,"Other, Biotechnology"
PMC7988935,2021,Genome_Med,CACTUS: integrating clonal architecture with genomic clustering and transcriptome profiling of single tumor cells,no,yes,no,,,Yes,Yes,Yes,Package,GitHub,no,,,yes,1,Female,Assistant Professor,"Other,Genetics",Postdoc,Phd,CS
PMC8375061,2021,Genome_Med,Multi-omics of the esophageal microenvironment identifies signatures associated with progression of Barrett’s esophagus,no,no,no,,,Yes,Yes,Yes,Analytical,Zenodo,no,,,yes,1,Male,Associate Professor,,,Phd,Bioinformatics
PMC8008663,2021,Genome_Med,Emergence and evolution of antimicrobial resistance genes and mutations in Neisseria gonorrhoeae,yes,,,,,No,No,No,,,,,,no,6,Male,Professor,Other,"MD,Phd",MD,Other
PMC7845089,2021,Genome_Med,Highly elevated polygenic risk scores are better predictors of myocardial infarction risk early in life than later,yes,,,,,No,No,No,,,,,,no,7,Male,Professor,Other,Phd,Phd,Bioinformatics
PMC8438989,2021,Genome_Med,Whole-genome sequence-informed MALDI-TOF MS diagnostics reveal importance of Klebsiella oxytoca group in invasive infections: a retrospective clinical study,yes,,,,,Yes,Yes,Yes,Package,GitHub,no,,,yes,0,Male,Head of Divison,Other,Postdoc,Phd,Other
PMC8127495,2021,Genome_Med,An atlas connecting shared genetic architecture of human diseases and molecular phenotypes provides insight into COVID-19 susceptibility,yes,,,,,No,Yes,Yes,Package,GitHub,no,,,no,8,Male,Associate Professor,Other,"MD,Phd",Phd,Other
PMC8383430,2021,Genome_Med,Developmental dynamics of voltage-gated sodium channel isoform expression in the human and mouse brain,yes,,,,,No,Yes,Yes,pipeline,GitHub,no,,,yes,12,Male,Associate Professor,"Other,Genetics",Phd,BSc,Bioinformatics
PMC8241208,2021,Nat_Biotechnol,‘Super-antibodies’ could curb COVID-19 and help avert future pandemics,no,no,no,,,No,No,No,,,,,,no,4,Male,Science Journalist,"Other,Genetics",Phd,,
PMC7793390,2021,Nat_Biotechnol,COVID-19 antibodies on trial,no,no,no,,,No,No,No,,,,,,no,69,Female,Senior Editor,Other,Postdoc,,
PMC8277229,2021,Nat_Biotechnol,COVID-19 long haulers,no,no,no,,,No,No,No,,,,,,no,2,Male,Freelance Writer,Other,MS,,
PMC8095470,2021,Nat_Biotechnol,The viral arms race,no,no,no,,,No,No,No,,,,,,no,0,,,,,,
PMC8218965,2021,Nat_Biotechnol,‘Super-antibodies’ could curb COVID-19 and help avert future pandemics,no,no,no,,,No,No,No,,,,,,no,4,Male,Science Journalist,"Other, Genetics",Phd,,
PMC8023346,2021,Nat_Biotechnol,Radical solutions,no,no,no,,,No,No,No,,,,,,no,0,,,,,,
PMC8061880,2021,Nat_Biotechnol,Slivers of the spectrum,no,no,no,,,No,No,No,,,,,,no,1,Female,Writer and Editor,Other,MS,,
PMC8016152,2021,Nat_Biotechnol,Biotech bubbles during the global recession,no,no,no,,,No,No,No,,,,,,no,0,Female,Analyst and Specialist Writer,Other,BSc,,
PMC7842168,2021,Nat_Biotechnol,Refreshing the biologic pipeline 2020,no,no,no,,,No,No,No,,,,,,no,1,Male,Editor in Chief,Other,Phd,,
PMC7610786,2021,Nat_Biotechnol,Author Correction: ChIP-seq of plasma cell-free nucleosomes identifies gene expression programs of the cells of origin,no,no,no,,,No,No,No,,,,,,no,12,Male,Professor,CS,Postdoc,Phd,Other
PMC7781176,2021,Nat_Genet,Exploring the structural distribution of genetic variation in SARS-CoV-2 with the COVID-3D online resource,no,no,no,,,No,Yes,Yes,pipeline,Other (Website),uncertian,uncertain,uncertain,no,1,Male,Professor,Other,Phd,Phd,"Other, Computational Biology"
PMC8011839,2021,Nat_Genet,Characterizing the molecular regulation of inhibitory immune checkpoints with multi-modal single-cell screens.,no,yes,yes,GEO,,Yes,Yes,Yes,Package,GitHub,no,,,no,18,Male,Professor,Other,Postdoc,Phd,Other
PMC8038968,2021,Nat_Genet,Human-chimpanzee fused cells reveal cis-regulatory divergence underlying skeletal evolution,no,yes,yes,GEO,,Yes,Yes,Yes,Package,GitHub,no,,,yes,6,Male,Assistant Professor,Other,Phd,Postdoc,Other
PMC7610396,2021,Nat_Genet,A Unique Bipartite Polycomb Signature Regulates Stimulus-Response Transcription during Development,no,yes,yes,GEO,,Yes,Yes,Yes,Package,GitHub,no,,,yes,3,Male,Professor,Other,Postdoc,,
PMC7946813,2021,Nat_Genet,Liquid chromatin Hi-C characterizes compartment-dependent chromatin interaction dynamics,no,yes,yes,GEO,,Yes,Yes,Yes,Package,GitHub,no,,,yes,15,Male,Professor,Other,Phd,Phd,"Other, Biomedical Science"
PMC7611259,2021,Nat_Genet,Shared genetic pathways contribute to risk of hypertrophic and dilated cardiomyopathies with opposite directions of effect,yes,,,,,No,No,No,,,,,,no,29,,,,,,
PMC7946812,2021,Nat_Genet,VisuaLife: library for interactive visualization in rich web applications,yes,,,,,No,No,No,,,,,,no,16,Female,Professor,Other,"MD, Phd",Phd,"Other, Genetics"
PMC8148035,2021,Nat_Genet,Trans-ancestry genome-wide association meta-analysis of prostate cancer identifies new susceptibility loci and informs genetic risk prediction,yes,,,,,Yes,Yes,Yes,Analytical,GitHub,no,,,yes,44,Male,Co-Leader,Other,ScD,Phd,"Other,Genetics"
PMC7610386,2021,Nat_Genet,"Genome-wide meta-analysis, fine-mapping, and integrative prioritization implicate new Alzheimer’s disease risk genes",yes,,,,,Yes,Yes,Yes,Analytical,GitHub,no,,,yes,42,Male,Head of Research,"Other, Genetics",Postdoc,Postdoc,"Other, Genetics"
PMC7944648,2021,Nat_Genet,Identification of rare and common regulatory variants in pluripotent cells using population-scale transcriptomics,yes,,,,,Yes,Yes,Yes,Analytical,GitHub,no,,,yes,11,Male,Head,Other,Postdoc,Postdoc,Bioinformatics
PMC8369446,2021,Nat_Methods,Tools to cut the sweet layer-cake that is glycoproteomics,no,no,no,,,No,No,No,,,,,,no,1,Male,Editor,Other,MA,,
PMC8081406,2021,Nat_Methods,Scientists set out to connect the dots on long COVID,no,no,no,,,No,No,No,,,,,,no,10,Male,Editor,Other,MA,,
PMC7611018,2021,Nat_Methods,Multi-particle cryo-EM refinement with M visualizes ribosome-antibiotic complex at 3.5 Å in cells,no,yes,no,,,Yes,Yes,Yes,Software,GitHub,no,,,yes,39,Female,Group Leader,Other,Postdoc,Postdoc,CS
PMC8035334,2021,Nat_Methods,Deep Learning-Based Point-Scanning Super-Resolution Imaging,no,no,no,,,Yes,Yes,Yes,Pipeline,GitHub,yes,notebook,multiple,no,36,Male,Assistant Professor,Other,Postdoc,MS,Other
PMC8107123,2021,Nat_Methods,Real-time volumetric reconstruction of biological dynamics with light-field microscopy and deep learning,no,yes,no,,,Yes,Yes,Yes,Pipeline,GitHub,yes,notebook,multiple,no,16,Male,Professor,Other,Postdoc,Phd,Other
PMC7954905,2021,Nat_Methods,Joint profiling of histone modifications and transcriptome in single cells from mouse brain,no,yes,yes,GEO,,Yes,Yes,Yes,Pipeline,GitHub,no,,,yes,20,Male,Professor,Other,Phd,Phd,Other
PMC7954958,2021,Nat_Methods,Decoding the protein composition of whole nucleosomes with Nuc-MS,yes,,,,,No,No,No,,,,,,no,9,Male,Professor,Other,Phd,Phd,Other
PMC7611169,2021,Nat_Methods,Structured illumination microscopy with noise-controlled image reconstructions,yes,,,,,Yes,Yes,Yes,Pipeline,GitHub,no,,,no,3,Male,Professor,Other,Phd,Phd,Other
PMC7954949,2021,Nat_Methods,Joint probabilistic modeling of single-cell multi-omic data with totalVI,yes,,,,,Yes,Yes,Yes,Analytical,GitHub,yes,notebook,multiple,yes,31,Male,Associate Professor,Other,Phd,Phd,CS
PMC8272231,2021,Nat_Methods,Dual DNA and protein tagging of open chromatin unveils dynamics of epigenomic landscapes in leukemia,yes,,,,,Yes,Yes,Yes,Package,GitHub,yes,Rmd,multiple,yes,2,Male,Professor,"Other, Genetics","MD, Phd",Postdoc,Other
PMC7968994,2021,Nucleic_Acids_Res,DHX29 reduces leaky scanning through an upstream AUG codon regardless of its nucleotide context,no,no,no,,,No,No,No,,,,,,no,15,,,,,,
PMC8421218,2021,Nucleic_Acids_Res,c-kit2 G-quadruplex stabilized via a covalent probe: exploring G-quartet asymmetry,no,yes,no,,,No,No,No,,,,,,no,0,Male,Researcher,Other,Postdoc,Phd,Other
PMC8034638,2021,Nucleic_Acids_Res,Corrigendum to article “A programmable omnipotent Argonaute nuclease from mesophilic bacteria Kurthia massiliensis’’,no,no,no,,,No,No,No,,,,,,no,7,Female,Associate Professor,Other,Postdoc,,
PMC8262695,2021,Nucleic_Acids_Res,GEPIA2021: integrating multiple deconvolution-based analysis into GEPIA,no,yes,no,,,No,Yes,Yes,Package,GitHub,no,,,yes,12,,,,,,
PMC8053121,2021,Nucleic_Acids_Res,A programmable pAgo nuclease with universal guide and target specificity from the mesophilic bacterium Kurthia massiliensis,no,yes,yes,GEO,,No,No,No,,,,,,no,2,Male,Professor,,,,
PMC7897508,2021,Nucleic_Acids_Res,Crystal structure of a tick-borne flavivirus RNA-dependent RNA polymerase suggests a host adaptation hotspot in RNA viruses,no,yes,yes,other,Protein Data Bank,No,No,No,,,,,,no,1,Male,Professor,Other,Phd,Phd,CS
PMC8216272,2021,Nucleic_Acids_Res,G-quadruplex-forming aptamer enhances the peroxidase activity of myoglobin against luminol,no,yes,yes,other,Protein Data Bank,No,No,No,,,,,,no,1,Male,Professor,Other,Phd,Phd,Other
PMC7897473,2021,Nucleic_Acids_Res,Structural insights into the substrate specificity of the endonuclease activity of the influenza virus cap-snatching mechanism,no,yes,yes,other,Protein Data Bank,No,No,No,,,,,,no,3,Male,Professor,Other,Phd,Phd,Other
PMC8136789,2021,Nucleic_Acids_Res,Implication of repeat insertion domains in the trans-activity of the long non-coding RNA ANRIL,yes,,,,,No,No,No,,,,,,no,2,Male,Postdoc Researcher ,Other,Phd,Postdoc,Other
PMC8287924,2021,Nucleic_Acids_Res,Architecture and evolution of subtelomeres in the unicellular green alga Chlamydomonas reinhardtii,yes,,,,,No,Yes,Yes,Analytical,Supplementary,no,,,no,1,Male,Professor,Other,Postdoc,,
